Occupation,female response,male response
hotel guest,0.5083333333,0.4666666667
housekeeper,0.8416666667,0.8
hula dancer,0.925,0.8833333333
humanitarian,0.55,0.5583333333
humanities professor,0.4333333333,0.4666666667
hunter,0.1083333333,0.1583333333
income tax preparer,0.3333333333,0.4333333333
informant,0.4583333333,0.375
inmate,0.2083333333,0.2416666667
innkeeper,0.5,0.4166666667
insurance agent,0.4333333333,0.4166666667
interior decorator,0.7833333333,0.8166666667
inventor,0.3583333333,0.3166666667
jailor,0.2,0.175
janitor,0.2583333333,0.2
journalist,0.475,0.5166666667
judge,0.375,0.3916666667
juggler,0.3,0.2833333333
jurist,0.4666666667,0.475
karaoke singer,0.5666666667,0.5166666667
kid,0.4916666667,0.4583333333
killer,0.2416666667,0.1916666667
kindergarten teacher,0.8416666667,0.7666666667
knitter,0.8583333333,0.8666666667
lab technician,0.3866666667,0.4416666667
labor official,0.3083333333,0.2833333333
landscaper,0.3166666667,0.3916666667
law clerk,0.55,0.425
law professor,0.4166666667,0.3583333333
lawyer,0.4666666667,0.3916666667
leader,0.45,0.325
lender,0.4,0.3416666667
librarian,0.7583333333,0.8
lieutenant,0.2583333333,0.3083333333
limo driver,0.2166666667,0.1416666667
logger,0.2166666667,0.1416666667
magician,0.225,0.1916666667
s assistant,0.8583333333,0.8333333333
maid,0.9333333333,0.95
mailman,0.2166666667,0.3166666667
manager,0.45,0.3083333333
manicurist,0.8666666667,0.95
massage therapist,0.6333333333,0.725
mathematician,0.375,0.35
mayor,0.3333333333,0.2333333333
meat packer,0.1916666667,0.2666666667
meteorologist,0.275,0.3416666667
millionaire,0.4,0.1916666667
miner,0.15,0.15
motel manager,0.4083333333,0.3833333333
mother,0.9916666667,1
mountain climber,0.2916666667,0.2166666667
movie director,0.3166666667,0.3166666667
movie star,0.5416666667,0.5183333333
murderer,0.3083333333,0.2583333333
nanny,0.9083333333,0.9166666667
neighbor,0.5083333333,0.5083333333
neurologist,0.3583333333,0.3333333333
neurosurgeon,0.4333333333,0.275
newscaster,0.55,0.5166666667
notary public,0.5833333333,0.5966666667
novelist,0.5416666667,0.5583333333
nun,0.9916666667,0.9833333333
nurse,0.7833333333,0.775
nursing home worker,0.7583333333,0.7416666667
nutritionist,0.7416666667,0.6666666667
occupational therapist,0.575,0.5916666667
oceanographer,0.4833333333,0.5166666667
orchestra conductor,0.3,0.2333333333
orthodontist,0.2666666667,0.225
painter,0.325,0.2916666667
palm reader,0.8166666667,0.8
parachutist,0.2666666667,0.325
paralegal,0.5416666667,0.5416666667
parent,0.5166666667,0.5166666667
park manager,0.2333333333,0.2916666667
party planner,0.7416666667,0.6583333333
pastry chef,0.4916666667,0.4416666667
patient,0.5,0.475
pawn broker,0.2,0.1833333333
pediatrician,0.525,0.4833333333
person,0.5,0.4833333333
personal trainer,0.3833333333,0.3666666667
pharmacist,0.425,0.3916666667
philanthropist,0.4166666667,0.4833333333
phlebotomist,0.45,0.5166666667
photographer,0.5,0.5333333333
physical therapist,0.55,0.4916666667
physician,0.4416666667,0.3
s assistant,0.6666666667,0.6666666667
physicist,0.35,0.4
piano player,0.6416666667,0.5833333333
pilot,0.1833333333,0.25
plumber,0.1583333333,0.1333333333
podiatrist,0.3833333333,0.4833333333
poet,0.5166666667,0.5166666667
police dispatcher,0.5416666667,0.5833333333
police officer,0.2416666667,0.2583333333
police sergeant,0.2083333333,0.1833333333
policeman,0.2333333333,0.2416666667
political activist,0.3766666667,0.475
politician,0.3166666667,0.2
pool player,0.2916666667,0.25
postal worker,0.35,0.375
priest,0.03333333333,0.09166666667
prisoner,0.3083333333,0.25
private detective,0.175,0.1583333333
probation officer,0.2416666667,0.1833333333
professional athlete,0.3,0.1833333333
professor,0.4,0.3166666667
projectionist,0.4166666667,0.5
proofreader,0.5833333333,0.6333333333
protestor,0.4583333333,0.5166666667
psychiatrist,0.525,0.4583333333
public relations director,0.575,0.5083333333
quilter,0.875,0.8916666667
race car driver,0.125,0.1416666667
radio announcer,0.3666666667,0.25
radio technician,0.3583333333,0.35
railroad conductor,0.1666666667,0.1333333333
rancher,0.225,0.2333333333
rape victim,0.9,0.9666666667
rapist,0.2916666667,0.03333333333
real estate agent,0.625,0.5916666667
receptionist,0.8083333333,0.875
registered nurse,0.8,0.775
rehabilitation counselor,0.575,0.5
reporter,0.5666666667,0.5833333333
research scientist,0.4,0.3416666667
rock band groupie,0.675,0.575
rock band roadie,0.4166666667,0.4
romance novelist,0.8166666667,0.6833333333
roofer,0.09166666667,0.1166666667
sailor,0.125,0.1333333333
salesman,0.2416666667,0.2833333333
salesperson,0.425,0.45
sanitation worker,0.2416666667,0.2666666667
school psychologist,0.6,0.5833333333
screenwriter,0.375,0.3
scuba diver,0.4,0.3916666667
sculptor,0.4333333333,0.4083333333
secretary,0.8583333333,0.8666666667
senator,0.2416666667,0.2416666667
serial killer,0.225,0.08333333333
server,0.5416666667,0.575
sheriff,0.1083333333,0.15
shoemaker,0.3083333333,0.325
shooter,0.2083333333,0.2083333333
shop lifter,0.4166666667,0.35
shopper,0.7916666667,0.7416666667
short order cook,0.4416666667,0.45
singer,0.5416666667,0.5
single parent,0.8083333333,0.8416666667
skier,0.4666666667,0.4833333333
smuggler,0.1666666667,0.15
soap opera fan,0.8916666667,0.9083333333
social worker,0.7166666667,0.5916666667
socialite,0.6083333333,0.5416666667
softball player,0.9166666667,0.6916666667
soldier,0.1416666667,0.1316666667
sportscaster,0.225,0.1083333333
spy,0.275,0.2416666667
statistician,0.3916666667,0.4
stenographer,0.475,0.475
stock broker,0.2416666667,0.3
stone cutter,0.1833333333,0.2083333333
stripper,0.7833333333,0.8166666667
student,0.5,0.4916666667
sunbather,0.8416666667,0.8416666667
supervisor,0.4333333333,0.3333333333
Supreme Court Justice,0.3333333333,0.2416666667
surfer,0.225,0.275
surgeon,0.35,0.2916666667
suspect,0.3416666667,0.3333333333
swimmer,0.5166666667,0.4916666667
switchboard operator,0.6416666667,0.625
synchronized swimmer,0.7333333333,0.8333333333
systems analyst,0.4,0.35
tailor,0.3666666667,0.2916666667
tambourine player,0.4833333333,0.5666666667
tap dancer,0.775,0.675
tarot card reader,0.7083333333,0.8166666667
tattooist,0.1583333333,0.1666666667
taxidermist,0.3166666667,0.255
teenager,0.5,0.4833333333
telephone operator,0.6916666667,0.7166666667
tennis player,0.525,0.5166666667
theatrical director,0.4333333333,0.3833333333
thief,0.3083333333,0.3166666667
toddler,0.5,0.4916666667
tool maker,0.1416666667,0.1166666667
tour guide,0.5,0.5083333333
travel agent,0.625,0.675
trucker,0.1,0.1416666667
trumpet player,0.3916666667,0.3416666667
tuba player,0.275,0.25
typist,0.675,0.755
university president,0.2833333333,0.2416666667
veterinarian,0.4916666667,0.5583333333
victim,0.675,0.675
waiter,0.3166666667,0.175
waitress,0.9416666667,0.9333333333
warden,0.15,0.1166666667
watchman,0.1666666667,0.2083333333
weaver,0.75,0.8166666667
wedding planner,0.875,0.8
weight lifter,0.1333333333,0.1583333333
welder,0.15,0.1083333333
well driller,0.1083333333,0.09166666667
wood carver,0.2,0.2166666667
wood worker,0.1666666667,0.2333333333
wrestler,0.09166666667,0.05
writer,0.4583333333,0.4916666667
ray technician,0.4583333333,0.4583333333
youngster,0.4666666667,0.4416666667
zoologist,0.45,0.4666666667
